dataset,architecture,seed,epoch,layer,criterion,criterion_group,neuron_index,score
MNIST,medium,44,10,a1,output_weight_norm,baseline,187,0.8320955038070679
MNIST,medium,44,10,a1,output_weight_norm,baseline,188,1.049311637878418
MNIST,medium,44,10,a1,output_weight_norm,baseline,189,1.2242403030395508
MNIST,medium,44,10,a1,output_weight_norm,baseline,190,1.0565829277038574
MNIST,medium,44,10,a1,output_weight_norm,baseline,191,1.3269764184951782
MNIST,medium,44,10,a1,output_weight_norm,baseline,192,1.218063235282898
MNIST,medium,44,10,a1,output_weight_norm,baseline,193,0.912520706653595
MNIST,medium,44,10,a1,output_weight_norm,baseline,194,0.4059552550315857
MNIST,medium,44,10,a1,output_weight_norm,baseline,195,1.227467656135559
MNIST,medium,44,10,a1,output_weight_norm,baseline,196,0.7259233593940735
MNIST,medium,44,10,a1,output_weight_norm,baseline,197,1.2571971416473389
MNIST,medium,44,10,a1,output_weight_norm,baseline,198,0.7296363115310669
MNIST,medium,44,10,a1,output_weight_norm,baseline,199,1.0214354991912842
MNIST,medium,44,10,a1,output_weight_norm,baseline,200,0.9889845848083496
MNIST,medium,44,10,a1,output_weight_norm,baseline,201,0.8132328987121582
MNIST,medium,44,10,a1,output_weight_norm,baseline,202,0.6941863298416138
MNIST,medium,44,10,a1,output_weight_norm,baseline,203,1.1419193744659424
MNIST,medium,44,10,a1,output_weight_norm,baseline,204,1.0128164291381836
MNIST,medium,44,10,a1,output_weight_norm,baseline,205,0.623003363609314
MNIST,medium,44,10,a1,output_weight_norm,baseline,206,1.395316481590271
MNIST,medium,44,10,a1,output_weight_norm,baseline,207,1.0643572807312012
MNIST,medium,44,10,a1,output_weight_norm,baseline,208,0.7900740504264832
MNIST,medium,44,10,a1,output_weight_norm,baseline,209,1.0109856128692627
MNIST,medium,44,10,a1,output_weight_norm,baseline,210,0.9281765222549438
MNIST,medium,44,10,a1,output_weight_norm,baseline,211,0.9176318645477295
MNIST,medium,44,10,a1,output_weight_norm,baseline,212,0.6936622858047485
MNIST,medium,44,10,a1,output_weight_norm,baseline,213,1.1103464365005493
MNIST,medium,44,10,a1,output_weight_norm,baseline,214,0.8379695415496826
MNIST,medium,44,10,a1,output_weight_norm,baseline,215,0.427382230758667
MNIST,medium,44,10,a1,output_weight_norm,baseline,216,0.8392379879951477
MNIST,medium,44,10,a1,output_weight_norm,baseline,217,1.09459388256073
MNIST,medium,44,10,a1,output_weight_norm,baseline,218,1.2016021013259888
MNIST,medium,44,10,a1,output_weight_norm,baseline,219,0.6461716890335083
MNIST,medium,44,10,a1,output_weight_norm,baseline,220,1.0028432607650757
MNIST,medium,44,10,a1,output_weight_norm,baseline,221,1.0733755826950073
MNIST,medium,44,10,a1,output_weight_norm,baseline,222,0.9860076904296875
MNIST,medium,44,10,a1,output_weight_norm,baseline,223,1.260793924331665
MNIST,medium,44,10,a1,output_weight_norm,baseline,224,1.0849424600601196
MNIST,medium,44,10,a1,output_weight_norm,baseline,225,1.073128581047058
MNIST,medium,44,10,a1,output_weight_norm,baseline,226,1.1513069868087769
MNIST,medium,44,10,a1,output_weight_norm,baseline,227,1.3241888284683228
MNIST,medium,44,10,a1,output_weight_norm,baseline,228,0.8987330794334412
MNIST,medium,44,10,a1,output_weight_norm,baseline,229,1.038577914237976
MNIST,medium,44,10,a1,output_weight_norm,baseline,230,0.4308318495750427
MNIST,medium,44,10,a1,output_weight_norm,baseline,231,0.41356903314590454
MNIST,medium,44,10,a1,output_weight_norm,baseline,232,0.42330896854400635
MNIST,medium,44,10,a1,output_weight_norm,baseline,233,1.1181503534317017
MNIST,medium,44,10,a1,output_weight_norm,baseline,234,0.5372689366340637
MNIST,medium,44,10,a1,output_weight_norm,baseline,235,1.0287784337997437
MNIST,medium,44,10,a1,output_weight_norm,baseline,236,1.0803145170211792
MNIST,medium,44,10,a1,output_weight_norm,baseline,237,0.9417590498924255
MNIST,medium,44,10,a1,output_weight_norm,baseline,238,0.9431354403495789
