dataset,architecture,seed,epoch,layer,criterion,criterion_group,neuron_index,score
MNIST,medium,43,10,a1,output_weight_norm,baseline,316,0.7948943376541138
MNIST,medium,43,10,a1,output_weight_norm,baseline,317,1.1019389629364014
MNIST,medium,43,10,a1,output_weight_norm,baseline,318,0.41925573348999023
MNIST,medium,43,10,a1,output_weight_norm,baseline,319,0.9848366975784302
MNIST,medium,43,10,a1,output_weight_norm,baseline,320,0.950578510761261
MNIST,medium,43,10,a1,output_weight_norm,baseline,321,1.237563967704773
MNIST,medium,43,10,a1,output_weight_norm,baseline,322,1.1530647277832031
MNIST,medium,43,10,a1,output_weight_norm,baseline,323,0.8476537466049194
MNIST,medium,43,10,a1,output_weight_norm,baseline,324,1.2038744688034058
MNIST,medium,43,10,a1,output_weight_norm,baseline,325,0.8745890259742737
MNIST,medium,43,10,a1,output_weight_norm,baseline,326,0.9785277247428894
MNIST,medium,43,10,a1,output_weight_norm,baseline,327,1.1178361177444458
MNIST,medium,43,10,a1,output_weight_norm,baseline,328,0.837303638458252
MNIST,medium,43,10,a1,output_weight_norm,baseline,329,0.9310436248779297
MNIST,medium,43,10,a1,output_weight_norm,baseline,330,0.9015899300575256
MNIST,medium,43,10,a1,output_weight_norm,baseline,331,0.6704965233802795
MNIST,medium,43,10,a1,output_weight_norm,baseline,332,0.7607121467590332
MNIST,medium,43,10,a1,output_weight_norm,baseline,333,0.754876971244812
MNIST,medium,43,10,a1,output_weight_norm,baseline,334,1.528478980064392
MNIST,medium,43,10,a1,output_weight_norm,baseline,335,1.0900533199310303
MNIST,medium,43,10,a1,output_weight_norm,baseline,336,1.1117990016937256
MNIST,medium,43,10,a1,output_weight_norm,baseline,337,0.8769589066505432
MNIST,medium,43,10,a1,output_weight_norm,baseline,338,0.7647289633750916
MNIST,medium,43,10,a1,output_weight_norm,baseline,339,1.0528013706207275
MNIST,medium,43,10,a1,output_weight_norm,baseline,340,0.40384650230407715
MNIST,medium,43,10,a1,output_weight_norm,baseline,341,0.8627663850784302
MNIST,medium,43,10,a1,output_weight_norm,baseline,342,0.9720469117164612
MNIST,medium,43,10,a1,output_weight_norm,baseline,343,1.1344208717346191
MNIST,medium,43,10,a1,output_weight_norm,baseline,344,0.8375953435897827
MNIST,medium,43,10,a1,output_weight_norm,baseline,345,0.8837307691574097
MNIST,medium,43,10,a1,output_weight_norm,baseline,346,1.6573435068130493
MNIST,medium,43,10,a1,output_weight_norm,baseline,347,1.3839527368545532
MNIST,medium,43,10,a1,output_weight_norm,baseline,348,0.8187536001205444
MNIST,medium,43,10,a1,output_weight_norm,baseline,349,0.8323487043380737
MNIST,medium,43,10,a1,output_weight_norm,baseline,350,1.1222938299179077
MNIST,medium,43,10,a1,output_weight_norm,baseline,351,0.7551214098930359
